1616,65,A,SFD ATG,Announcement Talkgroup,Fire-Talk,Seattle Fire,2
1648,67,A,SFD Ch 1,Ch 1 Primary Fire Response,Fire-Tac,Seattle Fire,2
1680,69,A,SFD Ch 2,Ch 2 Secondary Fire Response,Fire-Tac,Seattle Fire,2
1712,06b,A,SFD Ch 3,Ch 3 Tertiary Fire Response,Fire-Tac,Seattle Fire,2
1744,06d,A,SFD Disp,Ch 4 Dispatch Fire,Fire Dispatch,Seattle Fire,2
1776,06f,A,SFD Disp 2,Ch 5 Direct Dispatch Channel,EMS-Tac,Seattle Fire,2
1808,71,A,SFD EMS 6,Ch 6 EMS Primary Response,EMS-Tac,Seattle Fire,2
1840,73,A,SFD Cmnd 11,Ch 11 Fire Command Support,Fire-Talk,Seattle Fire,2
1872,75,A,SFD Cmnd 12,Ch 12 Fire Command Support,Fire-Tac,Seattle Fire,2
1904,77,A,SFD MyDy Tac,Fire Mayday Tactical,Fire-Tac,Seattle Fire,2
1936,79,A,SFD RIT,Fire Rapid Intervention Team,Fire-Tac,Seattle Fire,2
1968,07b,A,SFD AMB,Fire Ambulance Requests,EMS-Tac,Seattle Fire,2
2000,07d,A,SFD Med1 Doc,Medic One Doctor,EMS-Tac,Seattle Fire,1
2032,07f,A,SFD Trma Doc,Trauma Doctor,EMS-Tac,Seattle Fire,2
2064,81,A,SFD Cmnd13,13 Command Support,Deprecated,Seattle Fire,2
2096,83,A,SFD M/P,Fire Multipurpose,Fire-Tac,Seattle Fire,2
2128,85,A,SFD Emerg,Fire Emergency,Fire-Tac,Seattle Fire,2
2160,87,A,SFD Invest,Investigations,Deprecated,Seattle Fire,2
2192,89,A,SFD FAC,Fire Alarm Center Administration,Fire-Talk,Seattle Fire,2
2224,08b,A,SFD AIR,Airlift Northwest,EMS-Tac,Seattle Fire,2
2256,08d,A,SFD RMC/EOC,EOC / Fire Coordination,Emergency Ops,Seattle Fire,2
2288,08f,A,SFD Bat 2,Battalion 2,Fire-Talk,Seattle Fire,2
2320,91,A,SFD Bat 3,Battalion 3,Fire-Talk,Seattle Fire,2
2352,93,A,SFD Bat 4,Battalion 4,Fire-Talk,Seattle Fire,2
2384,95,A,SFD Bat 5,Battalion 5,Fire-Talk,Seattle Fire,2
2416,97,A,SFD Bat 6,Battalion 6,Fire-Talk,Seattle Fire,2
2448,99,A,SFD Bat 7,Battalion 7,Fire-Talk,Seattle Fire,2
2480,09b,A,SFD Ops,Operations,Fire-Tac,Seattle Fire,2
2512,09d,A,SFD Cmd 13,Ch 13 Command Support,Fire-Talk,Seattle Fire,2
2992,0bb,A,SFD Trn 1,Training 1,Fire-Talk,Seattle Fire,2
3024,0bd,A,SFD FMO,Fire Marshall Office,Fire-Talk,Seattle Fire,2
3056,0bf,A,SFD Serv,Fire Services,Fire-Talk,Seattle Fire,2
3088,0c1,A,SFD Event 14,Event 14,Fire-Talk,Seattle Fire,2
3120,0c3,A,SFD Event 15,Event 15,Fire-Talk,Seattle Fire,2
3184,0c7,A,SFD EOC,Emergency Operations Center,Deprecated,Seattle Fire,2
3216,0c9,A,SPD ATG,Announcement Talk Group,Law Talk,Seattle Police,2
3248,0cb,A,SPD W,Dispatch West,Law Dispatch,Seattle Police,2
3280,0cd,A,SPD N,Dispatch North,Law Dispatch,Seattle Police,2
3312,0cf,A,SPD S,Dispatch South,Law Dispatch,Seattle Police,2
